"","mean","sd","2.5%","97.5%","rhat","ess_bulk","modelLabel"
"p[13]1",0.835309863,0.0392404407663319,0.753231725,0.9052708,1.0000515266995,2722.66517863435,"grubb li target loc - Figure 4F"
"p[14]1",0.67006968,0.0528324518409033,0.56195495,0.7711044,0.999880536912892,2987.82839141174,"grubb li target loc - Figure 4F"
"p[15]1",0.2352218055,0.0477446787619491,0.148690225,0.3314694,1.00367815496664,2167.80176118226,"grubb li target loc - Figure 4F"
"p[16]1",0.8711961855,0.0364157939065594,0.793632625,0.93290965,1.00375615458193,3234.84094882627,"grubb li target loc - Figure 4F"
"p[17]1",0.5876818925,0.053344252974755,0.482367325,0.688252075,1.00102689194154,2925.00004166202,"grubb li target loc - Figure 4F"
"p[18]1",0.3984511995,0.0508067708433085,0.300886175,0.502128625,0.999445084481664,2928.66099016523,"grubb li target loc - Figure 4F"
"p[19]1",0.505298735,0.0551260304518697,0.4014789,0.614827575,1.00329945636549,3183.49600278448,"grubb li target loc - Figure 4F"
"p[20]1",0.706454554,0.0493616772865079,0.60648895,0.7967643,1.00243725770203,2440.84151151121,"grubb li target loc - Figure 4F"
"p[21]1",0.860429775,0.0371382226052017,0.7807945,0.925054525,1.00207031671306,2554.92570902917,"grubb li target loc - Figure 4F"
"p[22]1",0.623887011,0.0523962226943813,0.522392725,0.7203378,1.00148024983297,2500.93927111508,"grubb li target loc - Figure 4F"
"p[23]1",0.5764462205,0.0519352353264534,0.472272475,0.6738063,1.00230664826823,2950.84245884674,"grubb li target loc - Figure 4F"
"p[24]1",0.918704527,0.0300432753971927,0.850482875,0.967849525,1.00560595608646,2596.38496233006,"grubb li target loc - Figure 4F"
"p[25]1",0.388535664,0.05287504862018,0.28815225,0.49682265,1.00081216674811,2609.42064504385,"grubb li target loc - Figure 4F"
"p[26]1",0.2231446471,0.0473234857239216,0.136196925,0.32038785,1.00726222126506,3502.47302443631,"grubb li target loc - Figure 4F"
"p[27]1",0.17535041075,0.0401667503688772,0.1054689,0.25871425,1.00125432042545,3009.54540598545,"grubb li target loc - Figure 4F"
"p[28]1",0.705397603,0.0487749250043809,0.605113775,0.795891125,0.999031272300146,2841.32620787855,"grubb li target loc - Figure 4F"
"p[29]1",0.859731014,0.0368401829108007,0.773968275,0.921913525,1.00238210865256,3127.68457464887,"grubb li target loc - Figure 4F"
"p[30]1",0.7301840475,0.0486124359685836,0.63069625,0.8175926,1.00058857710337,3904.59339082174,"grubb li target loc - Figure 4F"
"p[31]1",0.624047686,0.0527062989030099,0.516331175,0.7236161,1.00245623790764,3366.98458017225,"grubb li target loc - Figure 4F"
"p[32]1",0.6116543005,0.0520662388273535,0.5041093,0.707207975,1.00074492626714,3132.23808883929,"grubb li target loc - Figure 4F"
"p[33]1",0.8000155645,0.0430391204502532,0.711437725,0.8768451,1.00021098478523,3412.02115936248,"grubb li target loc - Figure 4F"
"p[34]1",0.4702611575,0.0566688675779742,0.360478,0.58438525,1.00055723819472,2971.92056236079,"grubb li target loc - Figure 4F"
"p[35]1",0.470402943,0.0546255846243363,0.36392485,0.578127375,0.999568962783767,2315.94749153909,"grubb li target loc - Figure 4F"
"p[36]1",0.742778266,0.0465570952805663,0.64970745,0.826114525,1.00118850515686,3111.60930774385,"grubb li target loc - Figure 4F"
"p[37]1",0.529963787,0.0530442572547441,0.4277987,0.633247225,1.00353191194974,2401.38368034567,"grubb li target loc - Figure 4F"
"p[38]1",0.670643232,0.0514540344195885,0.5649272,0.766699625,1.00384701372825,2529.82695958623,"grubb li target loc - Figure 4F"
"p[39]1",0.541789386,0.0550744874009485,0.434950125,0.649088875,1.00304263795056,3163.40212761116,"grubb li target loc - Figure 4F"
"p[40]1",0.2110508006,0.0439809644078387,0.130173,0.303659175,1.0004611882576,2460.15774341369,"grubb li target loc - Figure 4F"
"p[41]1",0.788215014,0.0463754132016915,0.69104315,0.87127255,1.00005649351734,2450.15883579419,"grubb li target loc - Figure 4F"
"p[42]1",0.447522999,0.0567236379117822,0.333559675,0.553528525,1.00212639936636,2853.7094725422,"grubb li target loc - Figure 4F"
"p[43]1",0.4723812475,0.0521821439457372,0.3719644,0.57631915,1.00054623384357,2370.18029809432,"grubb li target loc - Figure 4F"
"p[44]1",0.7183248525,0.0475358103491938,0.62293305,0.804167325,1.00083003861043,2448.32797302705,"grubb li target loc - Figure 4F"
"p[45]1",0.8948519135,0.0340378263463049,0.819613725,0.950984575,1.00071228434744,2771.02592980109,"grubb li target loc - Figure 4F"
"p[46]1",0.8351803895,0.0399229354616332,0.74878785,0.904249675,1.00081056338397,3344.02294700852,"grubb li target loc - Figure 4F"
"p[47]1",0.612824949,0.0510590566938485,0.50767165,0.712501125,0.99949828981395,2407.11912869262,"grubb li target loc - Figure 4F"
"p[48]1",0.730874645,0.0448005108554515,0.638603175,0.811327875,1.0019847970045,2868.26573423036,"grubb li target loc - Figure 4F"
"p[49]1",0.8840852855,0.0352622372247712,0.807371625,0.94309655,1.0005015227834,3146.63852691418,"grubb li target loc - Figure 4F"
"p[50]1",0.21198141075,0.04355244468685,0.13385735,0.3035034,0.999936142317144,2809.1190457288,"grubb li target loc - Figure 4F"
"p[51]1",0.402558884,0.0528102092416856,0.298761525,0.506300375,1.0007449819189,2831.60573834642,"grubb li target loc - Figure 4F"
"p[52]1",0.6356957405,0.0507336217195712,0.53719685,0.73337135,0.999040512997396,3394.97810907784,"grubb li target loc - Figure 4F"
"p[53]1",0.681625784,0.0499743823330626,0.5842524,0.776150525,0.999081419720085,3654.47605717683,"grubb li target loc - Figure 4F"
"p[54]1",0.7751600685,0.0459647836987627,0.6799218,0.861486675,1.00704976343022,2403.30444670665,"grubb li target loc - Figure 4F"
"p[55]1",0.682823121,0.0511902883354088,0.583698425,0.778999975,1.00462131881738,4240.26827998501,"grubb li target loc - Figure 4F"
"p[56]1",0.658152565,0.0517868558408185,0.5550426,0.757262975,0.99948630907649,2609.35272307374,"grubb li target loc - Figure 4F"
"p[57]1",0.292348372,0.0509471490287503,0.19776405,0.398475925,1.00358788280267,2642.91582372941,"grubb li target loc - Figure 4F"
"p[58]1",0.352711511,0.0506795935036157,0.25870195,0.45216265,1.00321167425631,2868.93899020931,"grubb li target loc - Figure 4F"
"p[59]1",0.7534203895,0.0448962833416948,0.665677975,0.83320265,1.00000605782237,2963.22906598967,"grubb li target loc - Figure 4F"
"p[60]1",0.11635080055,0.0350345291782194,0.0593691975,0.19456605,1.00107422007104,1892.56700223509,"grubb li target loc - Figure 4F"
"p[61]1",0.872152983,0.0358805305425759,0.79384605,0.931271475,1.00135964090993,2609.98045493299,"grubb li target loc - Figure 4F"
"p[62]1",0.3176378065,0.0498028220857805,0.22602725,0.419210475,1.00035559620121,3071.00255680881,"grubb li target loc - Figure 4F"
"p[63]1",0.3754863585,0.0502985513605557,0.2805968,0.474991475,1.00100902197148,2240.20039535957,"grubb li target loc - Figure 4F"
"p[64]1",0.599206429,0.0532304409962878,0.49690365,0.701754775,1.00212354032795,2181.84396377805,"grubb li target loc - Figure 4F"
"p[65]1",0.3881024635,0.0532020026900941,0.286896775,0.49933575,0.999669773459361,3340.90845610648,"grubb li target loc - Figure 4F"
"p[66]1",0.3070716415,0.0508914250091969,0.2109817,0.40532925,1.00073236629507,2449.30858713699,"grubb li target loc - Figure 4F"
"p[67]1",0.7282118975,0.0475971293938643,0.63147905,0.81633985,1.00245953391685,2346.57525093778,"grubb li target loc - Figure 4F"
"p[68]1",0.5293128665,0.0536622753708661,0.421115425,0.632717125,1.00075183043001,2547.29761790884,"grubb li target loc - Figure 4F"
"p[69]1",0.9082116755,0.0319439608244622,0.83817595,0.9605524,1.00010301408005,2481.21088732593,"grubb li target loc - Figure 4F"
"p[70]1",0.588288284,0.0525282930906559,0.488942125,0.69196565,1.00187268262305,2804.86138821615,"grubb li target loc - Figure 4F"
"p[71]1",0.577605904,0.0523771221462667,0.471417775,0.68118075,1.00211978832568,2950.51059056482,"grubb li target loc - Figure 4F"
"p[72]1",0.78851722,0.0433538914813409,0.6999037,0.8668967,1.00030422266514,2991.75239286925,"grubb li target loc - Figure 4F"
"p[73]",0.739893341,0.0467222957589973,0.643733125,0.82564285,1.00151625906426,2814.29774332619,"grubb li target loc - Figure 4F"
"p[74]",0.422544325,0.0530085137126234,0.324106325,0.528773025,1.00048117431353,2952.04377508321,"grubb li target loc - Figure 4F"
"p[75]",0.811865101,0.042060301658507,0.725387375,0.887567875,1.00361163450673,2371.70829149278,"grubb li target loc - Figure 4F"
"p[76]",0.6600980105,0.0517977230805135,0.557196525,0.757256225,1.00141762144702,3313.57245016967,"grubb li target loc - Figure 4F"
"p[77]",0.234948625,0.045037769114453,0.15169095,0.326760325,0.998775997552753,2881.23923423439,"grubb li target loc - Figure 4F"
"p[78]",0.376570597,0.0526579025550423,0.275753525,0.4835089,1.00470834337513,3084.6898218963,"grubb li target loc - Figure 4F"
"p[79]",0.6710496545,0.0514741590229183,0.5650873,0.7694396,0.999798247642131,2446.75639366156,"grubb li target loc - Figure 4F"
"p[80]",0.729107887,0.0467858326281106,0.63351375,0.81791,1.00390983172501,2844.72252527528,"grubb li target loc - Figure 4F"
"p[81]",0.4699811845,0.0523580066269184,0.370205775,0.5750948,1.00041113321791,2352.81870048173,"grubb li target loc - Figure 4F"
"p[82]",0.3768776275,0.0512740532820424,0.2788242,0.482592525,1.00181774538221,3029.41224190384,"grubb li target loc - Figure 4F"
"p[83]",0.751264704,0.0465605017249903,0.654773575,0.8364393,1.00216116420173,2825.11689037068,"grubb li target loc - Figure 4F"
"p[84]",0.6342219665,0.0517830006100116,0.532842325,0.729800275,0.999335128938489,2431.98009268798,"grubb li target loc - Figure 4F"
"p[85]",0.6358631035,0.0516144742368665,0.527450875,0.73419005,1.00557564107479,4086.59596198774,"grubb li target loc - Figure 4F"
"p[86]",0.7404040425,0.04806875851605,0.639903025,0.8254866,1.00167032859161,3713.55602549191,"grubb li target loc - Figure 4F"
"p[87]",0.718452465,0.050043854805677,0.617493275,0.80936585,1.00232601836683,3545.87622562304,"grubb li target loc - Figure 4F"
"p[88]",0.7296488545,0.0477388449953922,0.62865615,0.818724675,1.00698291051254,2879.57822925051,"grubb li target loc - Figure 4F"
"p[89]",0.624795092,0.0511445314330211,0.527202475,0.721403525,0.99986740604816,2999.78045064557,"grubb li target loc - Figure 4F"
"p[90]",0.566887308,0.0548362939093352,0.45363905,0.668158725,1.00034952369307,2174.92801612337,"grubb li target loc - Figure 4F"
"p[91]",0.22361033355,0.0433729732183588,0.146736225,0.314075875,1.00049255682814,3112.74865755742,"grubb li target loc - Figure 4F"
"p[92]",0.7770055465,0.0447904311454348,0.6854313,0.860809375,1.00207000557959,2979.06043348047,"grubb li target loc - Figure 4F"
"p[93]",0.836943464,0.0396928415156625,0.751372875,0.909096575,1.0055220556576,2587.91384893946,"grubb li target loc - Figure 4F"
"p[94]",0.4009977095,0.0520722960188088,0.298509825,0.50206425,1.0017631081434,2731.64869419507,"grubb li target loc - Figure 4F"
"p[95]",0.824401627,0.0423512681754148,0.73227965,0.897912125,1.00048643738228,3172.48729224003,"grubb li target loc - Figure 4F"
"p[96]",0.810971348,0.0421023270619917,0.719779125,0.886029175,1.00351404487405,3059.16873485181,"grubb li target loc - Figure 4F"
"p[97]",0.870560373,0.0352683482561663,0.795575375,0.932135,1.00175216391174,2324.35915139613,"grubb li target loc - Figure 4F"
"a1",2.89298177,0.416439652995798,2.138376,3.7122175,1.00259109549495,1121.55208213643,"grubb li target loc - Figure 4F"
"b1",1.917368525,0.263925065113702,1.4499275,2.447856,1.00465512013056,1109.97426957712,"grubb li target loc - Figure 4F"
"p[1]2",0.1869464697,0.0344929993913408,0.1229975,0.259096775,1.00375308046205,2466.62464967376,"grubb li distractor loc - Figure 5D"
"p[2]2",0.1949100101,0.0342532916474324,0.1323161,0.270133825,1.00103179177589,2496.14377080276,"grubb li distractor loc - Figure 5D"
"p[3]2",0.211101241,0.0369320293589345,0.143916025,0.2891731,0.999831447332765,2273.49365418448,"grubb li distractor loc - Figure 5D"
"p[4]2",0.17782212995,0.0351641765386286,0.115253325,0.2520207,1.00386497203074,3335.86222254165,"grubb li distractor loc - Figure 5D"
"p[5]2",0.2354413575,0.0399366384438374,0.164390775,0.3218928,1.0013476302156,2298.29444415421,"grubb li distractor loc - Figure 5D"
"p[6]2",0.1954318078,0.0375109797824586,0.12687145,0.2744242,1.00265440488018,2605.19393082608,"grubb li distractor loc - Figure 5D"
"p[7]2",0.211031239,0.0375247788839458,0.144869375,0.28896755,1.00374005034152,2654.33667064611,"grubb li distractor loc - Figure 5D"
"p[8]2",0.18843155345,0.0346941354842377,0.126400325,0.257886325,1.00189778183867,3094.48279263496,"grubb li distractor loc - Figure 5D"
"p[9]2",0.228375067,0.0385381692499667,0.158097625,0.3118706,1.00096561487287,2389.23969271559,"grubb li distractor loc - Figure 5D"
"p[10]2",0.1957086812,0.0362374633787239,0.1288327,0.26868135,1.00263962038477,2909.72559830654,"grubb li distractor loc - Figure 5D"
"p[11]2",0.219156709,0.0381793647367157,0.148375225,0.296958025,1.00334916344849,2485.04904434692,"grubb li distractor loc - Figure 5D"
"p[12]2",0.22603151,0.0366216573548988,0.1599798,0.29990305,1.00251073338971,2503.85465828043,"grubb li distractor loc - Figure 5D"
"p[13]2",0.203311204,0.0359596609388743,0.137333575,0.279574125,1.00208570355519,3463.7253221875,"grubb li distractor loc - Figure 5D"
"p[14]2",0.17106726095,0.0351749400894619,0.106950675,0.2438602,1.00055700271441,2634.71808118273,"grubb li distractor loc - Figure 5D"
"p[15]2",0.16985616795,0.0355925446401747,0.10434265,0.242157275,1.00164130106282,2303.21724063721,"grubb li distractor loc - Figure 5D"
"p[16]2",0.2110380445,0.0394379273518801,0.140101425,0.29278075,1.00299078194145,3224.95746663285,"grubb li distractor loc - Figure 5D"
"p[17]2",0.17058562065,0.0338380216672774,0.107674475,0.2405217,1.00437882122669,2510.51037600206,"grubb li distractor loc - Figure 5D"
"p[18]2",0.1709849317,0.0342602371453991,0.109229275,0.242988,1.00056476138559,2707.31776165654,"grubb li distractor loc - Figure 5D"
"p[19]2",0.18788942165,0.0346465911379575,0.125786625,0.26083535,1.00238155859246,3251.68174271973,"grubb li distractor loc - Figure 5D"
"p[20]2",0.1946475191,0.034931615523347,0.129501575,0.2703296,1.00071276419046,3023.23754936845,"grubb li distractor loc - Figure 5D"
